"","treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
"119",386,NA,"100423",NA,"PSYBRA","921",160.3,417.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"120",391,NA,"100431",NA,"PSYBER","821",157.14,418.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"121",392,NA,"100433",NA,"PSYBER","821",159.01,419.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"122",397,NA,"100442",NA,"PSYBRA","821",157.94,419.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"123",398,515,"100444","100444","OCOLEU","821",155.68,418.68,614353,6,NA,NA,NA,2016-08-04,"stem dead","MAIN;A;LS;DP;ST",1,"A",20670
"124",406,NA,"100454",NA,"MYRSPL","821",154.4,419.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"125",407,NA,"100457",NA,"PSYBRA","821",151.11,418.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"126",409,NA,"100459",NA,"PIPGLA","821",150.04,419.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"127",418,NA,"100468",NA,"PIPGLA","821",150.9,410.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"128",423,NA,"100472",NA,"SCHMOR","821",152.38,410.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"129",426,547,"100475","100475","DENARB","821",153.34,411.07,614287,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",2,"D",20670
"130",428,549,"100477","100477","CORBOR","821",153.59,411.77,614288,6,62,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"131",430,NA,"100479",NA,"GUAGLA","821",154.26,413.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"132",458,582,"100507","100507","CECSCH","821",150.75,406.78,614273,6,300,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"133",464,588,"100512","100512","INGLAU","821",153.58,409.21,614274,6,68,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"134",468,NA,"100519",NA,"PSYBRA","821",154.58,408.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"135",471,599,"100522","100522","MANBID","821",154.31,407.64,614275,6,50.5,"1.3",1.3,2016-08-04,"alive","MAIN;A",2,"A",20670
"136",474,602,"100525","100525","SCHMOR","821",153.16,407.99,614276,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT",1,"D",20670
"137",480,NA,"100531",NA,"CECSCH","821",153.01,405.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"138",484,613,"100535","100535","CECSCH","821",154.08,405.7,614277,6,293,"1.3",1.3,2016-08-04,"alive","MAIN;A",1,"A",20670
"139",493,NA,"100543",NA,"ALCLAT","821",153.15,405.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"140",495,NA,"100545",NA,"PSYBRA","821",152.72,405.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"141",497,NA,"100548",NA,"PSYBRA","821",150.39,405.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"142",498,628,"100549","100549","CECSCH","821",150.46,405.24,614278,6,NA,NA,NA,2016-08-04,"dead","MAIN;DEADT;ST",1,"D",20670
"143",510,NA,"100561",NA,"CECSCH","821",150.7,400.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"144",512,NA,"100564",NA,"PSYBRA","821",153.45,404.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"145",526,NA,"100577",NA,"TREMIC","821",150.61,402.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"146",535,668,"100585","100585","SCHMOR","821",148.03,403.96,614227,6,48.6,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"147",541,NA,"100590",NA,"SCHMOR","821",145.73,404.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"148",544,NA,"100594",NA,"PSYBRA","821",148.46,402.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"149",553,NA,"100601",NA,"CORBOR","821",146.65,401.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"150",560,694,"100608","100608","CECSCH","821",145.72,405.36,614235,6,349,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"151",563,NA,"100610",NA,"CECSCH","821",146.86,405.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"152",564,698,"100611","100611","PREMON","821",146.84,405.46,614236,6,161,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"153",566,700,"100613","100613","SCHMOR","821",149.23,405.49,614237,6,73,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"154",569,703,"100617","100617","TRIPAL","821",148.56,405.84,614239,6,75,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"155",570,NA,"100618",NA,"SCHMOR","821",149.68,406.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"156",571,NA,"100619",NA,"SCHMOR","821",149.58,407.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"157",573,707,"100620","100620","SCHMOR","821",147.93,407.53,614240,6,70,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"158",574,708,"100621","100621","CECSCH","821",147.47,408.44,614241,6,240,"1.25",1.27,2016-07-29,"alive","MAIN;A",1,"A",20664
"159",575,NA,"100622",NA,"CECSCH","821",146.8,407.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"160",576,710,"100623","100623","SCHMOR","821",146.86,408.3,614242,6,167,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"161",578,712,"100626","100626","SCHMOR","821",147.43,407.38,614244,6,118,"1.35",1.35,2016-07-29,"alive","MAIN;A",1,"A",20664
"162",579,NA,"100627",NA,"CECSCH","821",147.29,407.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"163",581,715,"100629","100629","SCHMOR","821",146.2,409.76,614245,6,166,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"164",584,NA,"100631",NA,"SCHMOR","821",148.9,409.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"165",585,NA,"100632",NA,"PALRIP","821",145.84,407.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"166",587,NA,"100634",NA,"SCHMOR","821",146.55,409.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"167",589,723,"100636","100636","FAROCC","821",147.12,409.25,614246,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT;B",1,"D",20664
"168",590,NA,"100637",NA,"SCHMOR","821",146.21,410.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"169",592,726,"100639","100639","SCHMOR","821",146.17,412.44,614251,6,107,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"170",600,734,"100647","100647","PREMON","821",145.19,413.12,614252,6,120,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"171",602,736,"100649","100649","GUAGUI","821",148.96,414.44,614253,6,33.1,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"172",604,738,"100650","100650","CASARB","821",148.03,414.36,614254,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT;ST",1,"D",20664
"173",606,740,"100652","100652","TRIPAL","821",145.49,415.1,614260,6,82,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"174",607,NA,"100653",NA,"MICPRA","821",145.1,418.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"175",608,NA,"100654",NA,"MICPRA","821",144.89,418.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"176",611,745,"100657","100657","CASARB","821",147.43,415.3,614261,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"177",613,751,"100662","109716","CASARB","821",149.21,404.1,614403,6,182,"1.3",1.3,2016-08-15,"alive","SPROUT;A",2,"A",20681
"178",615,753,"100664","100664","PREMON","821",148.02,419.71,614262,6,140,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"179",630,NA,"100688",NA,"PSYBRA","821",142.04,415.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"180",633,NA,"100693",NA,"MYRSPL","821",142.36,418.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"181",634,778,"100695","100695","CASARB","821",140.77,417.08,614220,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT;B",2,"D",20664
"182",636,780,"100697","100697","MYRSPL","821",140.58,417.86,614221,6,34.8,"1.3",1.3,2016-07-29,"alive","MAIN;A;C",1,"A",20664
"183",643,789,"100703","100703","SCHMOR","821",141.78,415.1,614222,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"184",644,790,"100704","100704","SCHMOR","821",142.1,414.52,614207,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"185",645,791,"100705","100705","CECSCH","821",141.5,414.33,614208,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"186",646,792,"100707","100707","ALCLAT","821",143.57,411.06,614210,6,100,"1.1",1.1,2016-07-29,"alive","MAIN;A",1,"A",20664
"187",647,793,"100708","100708","SCHMOR","821",143.24,410.91,614211,6,248,"1.35",1.35,2016-07-29,"alive","MAIN;A",1,"A",20664
"188",650,798,"100713","100713","CASARB","821",141.25,412.69,614213,6,178,"1.3",1.3,2016-07-29,"alive","MAIN;A",1,"A",20664
"189",651,799,"100714","100714","SYMMAR","821",140.89,410.14,614214,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"190",654,NA,"100717",NA,"PSYBER","821",143.5,409.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"191",655,NA,"100718",NA,"CECSCH","821",144.51,409.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",NA
"192",659,160936,"100722","175405","CASARB","821",141.26,408.27,614206,6,13,"1.3",1.3,2016-07-29,"alive","SPROUT;A",2,"A",20664
"193",661,810,"100725","100725","PSYBRA","821",140.36,408.11,614196,6,NA,NA,NA,2016-07-29,"dead","MAIN;DEADT",1,"D",20664
"194",662,114162,"100726","157020","CASARB","821",141.62,404.84,614184,6,81,"1.3",1.3,2016-07-29,"alive","SPROUT;A",6,"A",20664
"195",667,822,"100736","100736","SCHMOR","821",144.75,404.5,614176,6,252,"1.4",1.38,2016-07-29,"alive","MAIN;A",1,"A",20664
